"entry no."	"ipi"
388	"IPI00482230"
416	"IPI00486525"
418	"IPI00570093,IPI00482783"
422	"IPI00496157"
494	"IPI00618757,IPI00504792,IPI00492906,IPI00482047,IPI00485541"
508	"IPI00489005"
509	"IPI00505836"
533	"IPI00511901,IPI00489139"
549	"IPI00615429,IPI00504861,IPI00501078,IPI00481815,IPI00615095,IPI00499383,IPI00492333"
567	"IPI00511804,IPI00504248,IPI00510844,IPI00612999"
568	"IPI00492706,IPI00499655,IPI00493586,IPI00503916,IPI00493919"
581	"IPI00483890,IPI00510476,IPI00485654,IPI00486048"
586	"IPI00501100,IPI00488768,IPI00618609,IPI00490557,IPI00619638"
589	"IPI00617953,IPI00618630,IPI00618554,IPI00615317,IPI00617696,IPI00608416,IPI00496149,IPI00504288,IPI00608706,IPI00612279,IPI00616298,IPI00499922"
596	"IPI00492832"
"613a"	"IPI00482570,IPI00482896,IPI00495829,IPI00487399"
614	"IPI00509069"
615	"IPI00497366,IPI00619741,IPI00613151"
636	"IPI00512841,IPI00608812"
637	"IPI00504544,IPI00505411"
641	"IPI00609603"
642	"IPI00490053"
646	"IPI00500663"
648	"IPI00505523"
649	"IPI00502303"
661	"IPI00614220,IPI00616936"
663	"IPI00616040"
666	"IPI00483406"
668	"IPI00507590,IPI00495368,IPI00508988,IPI00484939,IPI00496982,IPI00488850"
669	"IPI00612651,IPI00491094"
670	"IPI00487834,IPI00607233"
685	"IPI00506422,IPI00499529"
686	"IPI00485348"
687	"IPI00481475"
689	"IPI00495326"
694	"IPI00508948"
701	"IPI00619255"
703	"IPI00614738,IPI00499836,IPI00490588,IPI00485626"
704	"IPI00498104"
711	"IPI00512800"
714	"IPI00611183,IPI00618535,IPI00615474,IPI00507246,IPI00481494,IPI00501759"
715	"IPI00490096,IPI00487258"
717	"IPI00512580,IPI00495721"
725	"IPI00497737,IPI00509358,IPI00505620,IPI00613003,IPI00489663,IPI00502083"
728	"IPI00612016,IPI00485264,IPI00614946"
739	"IPI00496757"
743	"IPI00501377,IPI00555508"
753	"IPI00555355,IPI00508708"
761	"IPI00487837,IPI00482971"
767	"IPI00506111,IPI00508282"
775	"IPI00610871"
776	"IPI00506453"
778	"IPI00482353,IPI00508052"
786	"IPI00494956"
787	"IPI00505312"
792	"IPI00570057,IPI00500680"
796	"IPI00484531"
800	"IPI00494113"
809	"IPI00512433"
814	"IPI00513499"
817	"IPI00512764,IPI00485939,IPI00499030"
827	"IPI00610752,IPI00494877"
837	"IPI00618740,IPI00511790,IPI00485211"
847	"IPI00510526"
855	"IPI00490387,IPI00508335"
860	"IPI00509268,IPI00614194,IPI00505818,IPI00492583"
865	"IPI00609367,IPI00614176"
870	"IPI00616456"
